,0,1,2,3,4,5,6,7,8,9
0,-0.12795472,-0.12795472,-0.12795472,-0.12795472,-0.12795472,-0.12795472,-0.12795472,-0.12795472,-0.12795472,-0.12795472
1,-0.14560467,-0.14560467,-0.14560467,-0.14560467,-0.14560467,-0.14560467,-0.14560467,-0.14560467,-0.14560467,-0.14560467
2,0.18919592,0.18919592,0.18919592,0.18919592,0.18919592,0.18919592,0.18919592,0.18919592,0.18919592,0.18919592
3,-0.07864839,-0.07864839,-0.07864839,-0.07864839,-0.07864839,-0.07864839,-0.07864839,-0.07864839,-0.07864839,-0.07864839
4,-0.43273732,-0.43273732,-0.43273732,-0.43273732,-0.43273732,-0.43273732,-0.43273732,-0.43273732,-0.43273732,-0.43273732
5,-0.1938023,-0.1938023,-0.1938023,-0.1938023,-0.1938023,-0.1938023,-0.1938023,-0.1938023,-0.1938023,-0.1938023
6,-0.9805012,-0.9805012,-0.9805012,-0.9805012,-0.9805012,-0.9805012,-0.9805012,-0.9805012,-0.9805012,-0.9805012
7,0.038550932,0.038550932,0.038550932,0.038550932,0.038550932,0.038550932,0.038550932,0.038550932,0.038550932,0.038550932
8,0.19589953,0.19589953,0.19589953,0.19589953,0.19589953,0.19589953,0.19589953,0.19589953,0.19589953,0.19589953
9,0.29828054,0.29828054,0.29828054,0.29828054,0.29828054,0.29828054,0.29828054,0.29828054,0.29828054,0.29828054
10,-0.45300248,-0.45300248,-0.45300248,-0.45300248,-0.45300248,-0.45300248,-0.45300248,-0.45300248,-0.45300248,-0.45300248
11,0.53556406,0.53556406,0.53556406,0.53556406,0.53556406,0.53556406,0.53556406,0.53556406,0.53556406,0.53556406
12,-0.16034126,-0.16034126,-0.16034126,-0.16034126,-0.16034126,-0.16034126,-0.16034126,-0.16034126,-0.16034126,-0.16034126
13,-0.40274543,-0.40274543,-0.40274543,-0.40274543,-0.40274543,-0.40274543,-0.40274543,-0.40274543,-0.40274543,-0.40274543
14,-0.6368927,-0.6368927,-0.6368927,-0.6368927,-0.6368927,-0.6368927,-0.6368927,-0.6368927,-0.6368927,-0.6368927
15,-0.23910268,-0.23910268,-0.23910268,-0.23910268,-0.23910268,-0.23910268,-0.23910268,-0.23910268,-0.23910268,-0.23910268
16,0.19789127,0.19789127,0.19789127,0.19789127,0.19789127,0.19789127,0.19789127,0.19789127,0.19789127,0.19789127
17,0.35109356,0.35109356,0.35109356,0.35109356,0.35109356,0.35109356,0.35109356,0.35109356,0.35109356,0.35109356
18,-1.1124197,-1.1124197,-1.1124197,-1.1124197,-1.1124197,-1.1124197,-1.1124197,-1.1124197,-1.1124197,-1.1124197
19,0.12015849,0.12015849,0.12015849,0.12015849,0.12015849,0.12015849,0.12015849,0.12015849,0.12015849,0.12015849
20,0.015123419,0.015123419,0.015123419,0.015123419,0.015123419,0.015123419,0.015123419,0.015123419,0.015123419,0.015123419
21,0.13726768,0.13726768,0.13726768,0.13726768,0.13726768,0.13726768,0.13726768,0.13726768,0.13726768,0.13726768
22,0.094959244,0.094959244,0.094959244,0.094959244,0.094959244,0.094959244,0.094959244,0.094959244,0.094959244,0.094959244
23,-0.40395522,-0.40395522,-0.40395522,-0.40395522,-0.40395522,-0.40395522,-0.40395522,-0.40395522,-0.40395522,-0.40395522
24,-0.5766178,-0.5766178,-0.5766178,-0.5766178,-0.5766178,-0.5766178,-0.5766178,-0.5766178,-0.5766178,-0.5766178
25,-0.67087317,-0.67087317,-0.67087317,-0.67087317,-0.67087317,-0.67087317,-0.67087317,-0.67087317,-0.67087317,-0.67087317
26,-0.7696563,-0.7696563,-0.7696563,-0.7696563,-0.7696563,-0.7696563,-0.7696563,-0.7696563,-0.7696563,-0.7696563
27,-1.7392986,-1.7392986,-1.7392986,-1.7392986,-1.7392986,-1.7392986,-1.7392986,-1.7392986,-1.7392986,-1.7392986
28,-0.56110406,-0.56110406,-0.56110406,-0.56110406,-0.56110406,-0.56110406,-0.56110406,-0.56110406,-0.56110406,-0.56110406
29,-0.15829805,-0.15829805,-0.15829805,-0.15829805,-0.15829805,-0.15829805,-0.15829805,-0.15829805,-0.15829805,-0.15829805
30,-0.17798343,-0.17798343,-0.17798343,-0.17798343,-0.17798343,-0.17798343,-0.17798343,-0.17798343,-0.17798343,-0.17798343
31,-0.21763314,-0.21763314,-0.21763314,-0.21763314,-0.21763314,-0.21763314,-0.21763314,-0.21763314,-0.21763314,-0.21763314
32,-1.679066,-1.679066,-1.679066,-1.679066,-1.679066,-1.679066,-1.679066,-1.679066,-1.679066,-1.679066
33,-1.3757963,-1.3757963,-1.3757963,-1.3757963,-1.3757963,-1.3757963,-1.3757963,-1.3757963,-1.3757963,-1.3757963
34,-0.31453428,-0.31453428,-0.31453428,-0.31453428,-0.31453428,-0.31453428,-0.31453428,-0.31453428,-0.31453428,-0.31453428
35,-3.527792,-3.527792,-3.527792,-3.527792,-3.527792,-3.527792,-3.527792,-3.527792,-3.527792,-3.527792
36,-3.1462045,-3.1462045,-3.1462045,-3.1462045,-3.1462045,-3.1462045,-3.1462045,-3.1462045,-3.1462045,-3.1462045
37,-2.0637412,-2.0637412,-2.0637412,-2.0637412,-2.0637412,-2.0637412,-2.0637412,-2.0637412,-2.0637412,-2.0637412
38,-0.7665037,-0.7665037,-0.7665037,-0.7665037,-0.7665037,-0.7665037,-0.7665037,-0.7665037,-0.7665037,-0.7665037
39,-3.5060134,-3.5060134,-3.5060134,-3.5060134,-3.5060134,-3.5060134,-3.5060134,-3.5060134,-3.5060134,-3.5060134
40,-2.9673383,-2.9673383,-2.9673383,-2.9673383,-2.9673383,-2.9673383,-2.9673383,-2.9673383,-2.9673383,-2.9673383
41,-2.5085564,-2.5085564,-2.5085564,-2.5085564,-2.5085564,-2.5085564,-2.5085564,-2.5085564,-2.5085564,-2.5085564
42,0.34867203,0.34867203,0.34867203,0.34867203,0.34867203,0.34867203,0.34867203,0.34867203,0.34867203,0.34867203
43,-0.30443066,-0.30443066,-0.30443066,-0.30443066,-0.30443066,-0.30443066,-0.30443066,-0.30443066,-0.30443066,-0.30443066
44,-0.047071762,-0.047071762,-0.047071762,-0.047071762,-0.047071762,-0.047071762,-0.047071762,-0.047071762,-0.047071762,-0.047071762
45,0.18402784,0.18402784,0.18402784,0.18402784,0.18402784,0.18402784,0.18402784,0.18402784,0.18402784,0.18402784
46,0.3173429,0.3173429,0.3173429,0.3173429,0.3173429,0.3173429,0.3173429,0.3173429,0.3173429,0.3173429
47,-0.36892974,-0.36892974,-0.36892974,-0.36892974,-0.36892974,-0.36892974,-0.36892974,-0.36892974,-0.36892974,-0.36892974
48,-2.789863,-2.789863,-2.789863,-2.789863,-2.789863,-2.789863,-2.789863,-2.789863,-2.789863,-2.789863
49,-2.4094005,-2.4094005,-2.4094005,-2.4094005,-2.4094005,-2.4094005,-2.4094005,-2.4094005,-2.4094005,-2.4094005
50,-2.3007374,-2.3007374,-2.3007374,-2.3007374,-2.3007374,-2.3007374,-2.3007374,-2.3007374,-2.3007374,-2.3007374
51,-2.2694545,-2.2694545,-2.2694545,-2.2694545,-2.2694545,-2.2694545,-2.2694545,-2.2694545,-2.2694545,-2.2694545
52,-2.8489742,-2.8489742,-2.8489742,-2.8489742,-2.8489742,-2.8489742,-2.8489742,-2.8489742,-2.8489742,-2.8489742
53,-2.6454344,-2.6454344,-2.6454344,-2.6454344,-2.6454344,-2.6454344,-2.6454344,-2.6454344,-2.6454344,-2.6454344
54,-2.5527864,-2.5527864,-2.5527864,-2.5527864,-2.5527864,-2.5527864,-2.5527864,-2.5527864,-2.5527864,-2.5527864
